seq_id,source,type,start,end,score,strand,phase,attributes
VI,LD information,LD block,208815,208850,1,+,.,Name=CHR_6_3783-3784
VI,LD information,LD block,211447,223299,1,+,.,Name=CHR_6_3786-3792
VI,LD information,LD block,225352,226929,1,+,.,Name=CHR_6_3793-3796
VI,LD information,LD block,227352,227356,1,+,.,Name=CHR_6_3798-3799
VI,LD information,LD block,229335,245636,1,+,.,Name=CHR_6_3800-3817
VI,LD information,LD block,245962,245963,1,+,.,Name=CHR_6_3819-3820
VI,LD information,LD block,246705,252271,1,+,.,Name=CHR_6_3821-3824
VI,LD information,LD block,253516,262244,1,+,.,Name=CHR_6_3826-3837
VI,LD information,LD block,264000,270091,1,+,.,Name=CHR_6_3838-3851
VI,LD information,LD block,270110,270132,1,+,.,Name=CHR_6_3852-3856
VII,LD information,LD block,440,444,1,+,.,Name=CHR_7_3859-3860
VII,LD information,LD block,595,603,1,+,.,Name=CHR_7_3861-3862
VII,LD information,LD block,1581,5119,1,+,.,Name=CHR_7_3863-3864
VII,LD information,LD block,11071,11076,1,+,.,Name=CHR_7_3866-3867
VII,LD information,LD block,14747,16567,1,+,.,Name=CHR_7_3868-3869
VII,LD information,LD block,17838,17843,1,+,.,Name=CHR_7_3872-3874
VII,LD information,LD block,19896,20451,1,+,.,Name=CHR_7_3877-3879
VII,LD information,LD block,21057,43683,1,+,.,Name=CHR_7_3881-3907
VII,LD information,LD block,45565,55912,1,+,.,Name=CHR_7_3911-3925
VII,LD information,LD block,62689,68513,1,+,.,Name=CHR_7_3927-3931
VII,LD information,LD block,69394,69396,1,+,.,Name=CHR_7_3932-3933
VII,LD information,LD block,80602,80609,1,+,.,Name=CHR_7_3938-3941
VII,LD information,LD block,87147,88913,1,+,.,Name=CHR_7_3944-3948
VII,LD information,LD block,90591,102167,1,+,.,Name=CHR_7_3950-3954
VII,LD information,LD block,103626,114462,1,+,.,Name=CHR_7_3956-3962
VII,LD information,LD block,115291,115294,1,+,.,Name=CHR_7_3963-3965
VII,LD information,LD block,115759,122646,1,+,.,Name=CHR_7_3966-3969
VII,LD information,LD block,128719,139844,1,+,.,Name=CHR_7_3970-3981
VII,LD information,LD block,140293,140294,1,+,.,Name=CHR_7_3982-3983
VII,LD information,LD block,140416,144443,1,+,.,Name=CHR_7_3984-3994
VII,LD information,LD block,149219,154349,1,+,.,Name=CHR_7_3995-3999
VII,LD information,LD block,158616,159442,1,+,.,Name=CHR_7_4001-4003
VII,LD information,LD block,164509,166144,1,+,.,Name=CHR_7_4006-4007
VII,LD information,LD block,166259,169205,1,+,.,Name=CHR_7_4010-4012
VII,LD information,LD block,170660,170661,1,+,.,Name=CHR_7_4013-4014
VII,LD information,LD block,174147,197274,1,+,.,Name=CHR_7_4017-4030
VII,LD information,LD block,199802,203677,1,+,.,Name=CHR_7_4031-4036
VII,LD information,LD block,206511,207921,1,+,.,Name=CHR_7_4042-4044
VII,LD information,LD block,208986,209438,1,+,.,Name=CHR_7_4046-4047
VII,LD information,LD block,225148,255972,1,+,.,Name=CHR_7_4048-4073
VII,LD information,LD block,257392,267569,1,+,.,Name=CHR_7_4074-4079
VII,LD information,LD block,272144,272365,1,+,.,Name=CHR_7_4080-4083
VII,LD information,LD block,274400,276571,1,+,.,Name=CHR_7_4084-4086
VII,LD information,LD block,283774,301066,1,+,.,Name=CHR_7_4088-4094
VII,LD information,LD block,307209,307221,1,+,.,Name=CHR_7_4097-4098
VII,LD information,LD block,307361,316663,1,+,.,Name=CHR_7_4099-4102
VII,LD information,LD block,320913,321449,1,+,.,Name=CHR_7_4104-4105
VII,LD information,LD block,321718,324640,1,+,.,Name=CHR_7_4108-4115
VII,LD information,LD block,326640,347717,1,+,.,Name=CHR_7_4117-4141
VII,LD information,LD block,351511,359010,1,+,.,Name=CHR_7_4143-4148
VII,LD information,LD block,360441,366066,1,+,.,Name=CHR_7_4150-4159
VII,LD information,LD block,366931,377575,1,+,.,Name=CHR_7_4161-4174
VII,LD information,LD block,377578,379511,1,+,.,Name=CHR_7_4176-4179
VII,LD information,LD block,389537,394456,1,+,.,Name=CHR_7_4181-4185
VII,LD information,LD block,395909,397449,1,+,.,Name=CHR_7_4187-4189
VII,LD information,LD block,398372,399178,1,+,.,Name=CHR_7_4191-4193
VII,LD information,LD block,407454,409806,1,+,.,Name=CHR_7_4197-4200
VII,LD information,LD block,409847,412555,1,+,.,Name=CHR_7_4202-4206
VII,LD information,LD block,412717,414263,1,+,.,Name=CHR_7_4209-4214
VII,LD information,LD block,414290,433131,1,+,.,Name=CHR_7_4216-4241
VII,LD information,LD block,433461,433848,1,+,.,Name=CHR_7_4243-4247
VII,LD information,LD block,433855,438823,1,+,.,Name=CHR_7_4249-4265
VII,LD information,LD block,446235,449489,1,+,.,Name=CHR_7_4269-4271
VII,LD information,LD block,454664,458995,1,+,.,Name=CHR_7_4272-4276
VII,LD information,LD block,460296,467497,1,+,.,Name=CHR_7_4278-4286
VII,LD information,LD block,469647,508787,1,+,.,Name=CHR_7_4290-4315
VII,LD information,LD block,516852,531465,1,+,.,Name=CHR_7_4317-4323
VII,LD information,LD block,533328,558857,1,+,.,Name=CHR_7_4325-4336
VII,LD information,LD block,568033,592987,1,+,.,Name=CHR_7_4338-4363
VII,LD information,LD block,593375,593377,1,+,.,Name=CHR_7_4364-4365
VII,LD information,LD block,593465,605966,1,+,.,Name=CHR_7_4366-4382
VII,LD information,LD block,607418,607495,1,+,.,Name=CHR_7_4383-4384
VII,LD information,LD block,610875,616053,1,+,.,Name=CHR_7_4388-4393
VII,LD information,LD block,616486,625864,1,+,.,Name=CHR_7_4396-4406
VII,LD information,LD block,627187,627188,1,+,.,Name=CHR_7_4407-4408
VII,LD information,LD block,627924,634684,1,+,.,Name=CHR_7_4409-4417
VII,LD information,LD block,638015,644412,1,+,.,Name=CHR_7_4419-4429
VII,LD information,LD block,645493,649406,1,+,.,Name=CHR_7_4431-4439
VII,LD information,LD block,652017,653248,1,+,.,Name=CHR_7_4441-4446
VII,LD information,LD block,656911,659935,1,+,.,Name=CHR_7_4447-4459
VII,LD information,LD block,660023,676388,1,+,.,Name=CHR_7_4462-4475
VII,LD information,LD block,678180,712998,1,+,.,Name=CHR_7_4479-4498
VII,LD information,LD block,713462,727060,1,+,.,Name=CHR_7_4500-4515
VII,LD information,LD block,727961,732233,1,+,.,Name=CHR_7_4517-4525
VII,LD information,LD block,738918,739354,1,+,.,Name=CHR_7_4527-4530
VII,LD information,LD block,751217,762575,1,+,.,Name=CHR_7_4531-4538
VII,LD information,LD block,766310,769305,1,+,.,Name=CHR_7_4540-4543
VII,LD information,LD block,776465,784494,1,+,.,Name=CHR_7_4544-4547
VII,LD information,LD block,785343,789160,1,+,.,Name=CHR_7_4550-4553
VII,LD information,LD block,790984,793559,1,+,.,Name=CHR_7_4555-4563
VII,LD information,LD block,796731,806826,1,+,.,Name=CHR_7_4569-4578
VII,LD information,LD block,807907,810789,1,+,.,Name=CHR_7_4580-4588
VII,LD information,LD block,823954,845626,1,+,.,Name=CHR_7_4590-4604
VII,LD information,LD block,850794,854905,1,+,.,Name=CHR_7_4606-4610
VII,LD information,LD block,858005,876475,1,+,.,Name=CHR_7_4614-4642
VII,LD information,LD block,876542,876544,1,+,.,Name=CHR_7_4644-4645
VII,LD information,LD block,877072,885002,1,+,.,Name=CHR_7_4649-4655
VII,LD information,LD block,886493,912826,1,+,.,Name=CHR_7_4659-4692
VII,LD information,LD block,920923,935765,1,+,.,Name=CHR_7_4696-4714
VII,LD information,LD block,938096,947039,1,+,.,Name=CHR_7_4716-4728
VII,LD information,LD block,950329,950863,1,+,.,Name=CHR_7_4730-4731
VII,LD information,LD block,952040,957457,1,+,.,Name=CHR_7_4733-4737
VII,LD information,LD block,962982,967795,1,+,.,Name=CHR_7_4738-4742
VII,LD information,LD block,968764,972869,1,+,.,Name=CHR_7_4744-4747
VII,LD information,LD block,975368,981478,1,+,.,Name=CHR_7_4749-4753
VII,LD information,LD block,982432,983018,1,+,.,Name=CHR_7_4755-4757
VII,LD information,LD block,985833,1008513,1,+,.,Name=CHR_7_4760-4783
VII,LD information,LD block,1012575,1012595,1,+,.,Name=CHR_7_4788-4789
VII,LD information,LD block,1017880,1039044,1,+,.,Name=CHR_7_4790-4807
VII,LD information,LD block,1039884,1047587,1,+,.,Name=CHR_7_4809-4822
VII,LD information,LD block,1048750,1049339,1,+,.,Name=CHR_7_4827-4828
VII,LD information,LD block,1051846,1051850,1,+,.,Name=CHR_7_4829-4830
VII,LD information,LD block,1057307,1066735,1,+,.,Name=CHR_7_4831-4836
VIII,LD information,LD block,13662,35378,1,+,.,Name=CHR_8_4842-4863
VIII,LD information,LD block,37633,45571,1,+,.,Name=CHR_8_4865-4879
VIII,LD information,LD block,48214,48299,1,+,.,Name=CHR_8_4881-4883
VIII,LD information,LD block,50901,56351,1,+,.,Name=CHR_8_4884-4891
VIII,LD information,LD block,56423,56424,1,+,.,Name=CHR_8_4892-4893
VIII,LD information,LD block,57912,58345,1,+,.,Name=CHR_8_4894-4895
VIII,LD information,LD block,59614,63915,1,+,.,Name=CHR_8_4897-4901
VIII,LD information,LD block,64505,65889,1,+,.,Name=CHR_8_4903-4904
VIII,LD information,LD block,68955,71830,1,+,.,Name=CHR_8_4906-4910
VIII,LD information,LD block,72011,72021,1,+,.,Name=CHR_8_4912-4913
VIII,LD information,LD block,74739,74975,1,+,.,Name=CHR_8_4914-4916
VIII,LD information,LD block,78664,78809,1,+,.,Name=CHR_8_4917-4918
VIII,LD information,LD block,79061,85218,1,+,.,Name=CHR_8_4920-4929
VIII,LD information,LD block,85386,85389,1,+,.,Name=CHR_8_4930-4931
VIII,LD information,LD block,92161,105346,1,+,.,Name=CHR_8_4932-4946
VIII,LD information,LD block,105610,105611,1,+,.,Name=CHR_8_4947-4948
VIII,LD information,LD block,110021,122655,1,+,.,Name=CHR_8_4951-4978
VIII,LD information,LD block,131678,131702,1,+,.,Name=CHR_8_4982-4983
VIII,LD information,LD block,134839,140065,1,+,.,Name=CHR_8_4986-4992
VIII,LD information,LD block,143451,144671,1,+,.,Name=CHR_8_4994-4996
VIII,LD information,LD block,150593,170419,1,+,.,Name=CHR_8_4998-5037
VIII,LD information,LD block,175778,179821,1,+,.,Name=CHR_8_5041-5043
VIII,LD information,LD block,183857,188958,1,+,.,Name=CHR_8_5044-5048
VIII,LD information,LD block,190366,193438,1,+,.,Name=CHR_8_5049-5056
VIII,LD information,LD block,194308,194338,1,+,.,Name=CHR_8_5057-5058
VIII,LD information,LD block,194446,194658,1,+,.,Name=CHR_8_5059-5072
VIII,LD information,LD block,197968,206590,1,+,.,Name=CHR_8_5074-5095
VIII,LD information,LD block,219145,220430,1,+,.,Name=CHR_8_5101-5103
VIII,LD information,LD block,221382,221395,1,+,.,Name=CHR_8_5104-5106
VIII,LD information,LD block,223812,231269,1,+,.,Name=CHR_8_5107-5112
VIII,LD information,LD block,239187,289717,1,+,.,Name=CHR_8_5118-5150
VIII,LD information,LD block,291360,291363,1,+,.,Name=CHR_8_5151-5152
VIII,LD information,LD block,292640,334860,1,+,.,Name=CHR_8_5153-5180
VIII,LD information,LD block,337892,368026,1,+,.,Name=CHR_8_5181-5212
VIII,LD information,LD block,369658,375406,1,+,.,Name=CHR_8_5213-5223
VIII,LD information,LD block,375520,375742,1,+,.,Name=CHR_8_5225-5226
VIII,LD information,LD block,380610,385228,1,+,.,Name=CHR_8_5231-5242
VIII,LD information,LD block,386144,386883,1,+,.,Name=CHR_8_5246-5250
VIII,LD information,LD block,389013,389018,1,+,.,Name=CHR_8_5251-5253
VIII,LD information,LD block,389922,390246,1,+,.,Name=CHR_8_5257-5260
VIII,LD information,LD block,391989,402964,1,+,.,Name=CHR_8_5262-5273
VIII,LD information,LD block,409226,420017,1,+,.,Name=CHR_8_5275-5283
VIII,LD information,LD block,421095,422657,1,+,.,Name=CHR_8_5285-5287
VIII,LD information,LD block,425448,445835,1,+,.,Name=CHR_8_5288-5305
VIII,LD information,LD block,448047,449957,1,+,.,Name=CHR_8_5307-5308
VIII,LD information,LD block,452309,452328,1,+,.,Name=CHR_8_5309-5311
VIII,LD information,LD block,453479,453534,1,+,.,Name=CHR_8_5312-5313
VIII,LD information,LD block,455745,461438,1,+,.,Name=CHR_8_5316-5325
VIII,LD information,LD block,465075,465742,1,+,.,Name=CHR_8_5329-5332
VIII,LD information,LD block,466475,474485,1,+,.,Name=CHR_8_5333-5339
VIII,LD information,LD block,474521,474628,1,+,.,Name=CHR_8_5340-5342
VIII,LD information,LD block,475895,481335,1,+,.,Name=CHR_8_5345-5349
VIII,LD information,LD block,484694,509537,1,+,.,Name=CHR_8_5350-5375
VIII,LD information,LD block,517167,517642,1,+,.,Name=CHR_8_5376-5377
VIII,LD information,LD block,519219,520123,1,+,.,Name=CHR_8_5379-5383
VIII,LD information,LD block,521047,525401,1,+,.,Name=CHR_8_5385-5401
VIII,LD information,LD block,525441,525442,1,+,.,Name=CHR_8_5402-5403
VIII,LD information,LD block,525451,525454,1,+,.,Name=CHR_8_5405-5406
VIII,LD information,LD block,526127,528155,1,+,.,Name=CHR_8_5409-5411
VIII,LD information,LD block,529025,529350,1,+,.,Name=CHR_8_5412-5413
VIII,LD information,LD block,553978,553996,1,+,.,Name=CHR_8_5418-5419
VIII,LD information,LD block,554135,554151,1,+,.,Name=CHR_8_5422-5425
VIII,LD information,LD block,556476,556515,1,+,.,Name=CHR_8_5433-5434
IX,LD information,LD block,19625,20087,1,+,.,Name=CHR_9_5436-5438
IX,LD information,LD block,20731,20738,1,+,.,Name=CHR_9_5439-5440
IX,LD information,LD block,25061,27016,1,+,.,Name=CHR_9_5441-5443
IX,LD information,LD block,27399,36687,1,+,.,Name=CHR_9_5445-5459
IX,LD information,LD block,37379,49801,1,+,.,Name=CHR_9_5461-5471
IX,LD information,LD block,51500,51605,1,+,.,Name=CHR_9_5472-5473
IX,LD information,LD block,57000,69330,1,+,.,Name=CHR_9_5474-5484
IX,LD information,LD block,69730,94251,1,+,.,Name=CHR_9_5489-5551
IX,LD information,LD block,97282,105244,1,+,.,Name=CHR_9_5552-5558
IX,LD information,LD block,105326,105420,1,+,.,Name=CHR_9_5559-5565
IX,LD information,LD block,105901,127913,1,+,.,Name=CHR_9_5566-5587
IX,LD information,LD block,128717,144955,1,+,.,Name=CHR_9_5588-5618
IX,LD information,LD block,150327,161933,1,+,.,Name=CHR_9_5621-5630
IX,LD information,LD block,163075,169345,1,+,.,Name=CHR_9_5631-5636
IX,LD information,LD block,171609,176841,1,+,.,Name=CHR_9_5640-5646
IX,LD information,LD block,177598,178365,1,+,.,Name=CHR_9_5648-5650
IX,LD information,LD block,180087,180379,1,+,.,Name=CHR_9_5652-5654
IX,LD information,LD block,183658,193013,1,+,.,Name=CHR_9_5656-5661
IX,LD information,LD block,195445,196154,1,+,.,Name=CHR_9_5662-5664
IX,LD information,LD block,197752,198256,1,+,.,Name=CHR_9_5666-5668
IX,LD information,LD block,198339,204151,1,+,.,Name=CHR_9_5670-5678
IX,LD information,LD block,210740,240673,1,+,.,Name=CHR_9_5680-5701
IX,LD information,LD block,241200,241201,1,+,.,Name=CHR_9_5702-5703
IX,LD information,LD block,242937,243866,1,+,.,Name=CHR_9_5704-5715
IX,LD information,LD block,244149,245890,1,+,.,Name=CHR_9_5717-5726
IX,LD information,LD block,247491,247495,1,+,.,Name=CHR_9_5727-5729
IX,LD information,LD block,249562,254003,1,+,.,Name=CHR_9_5731-5741
IX,LD information,LD block,254025,257350,1,+,.,Name=CHR_9_5742-5761
IX,LD information,LD block,257480,258900,1,+,.,Name=CHR_9_5764-5774
IX,LD information,LD block,260986,267785,1,+,.,Name=CHR_9_5778-5786
IX,LD information,LD block,268262,268445,1,+,.,Name=CHR_9_5788-5791
IX,LD information,LD block,270827,273993,1,+,.,Name=CHR_9_5794-5798
IX,LD information,LD block,276483,286125,1,+,.,Name=CHR_9_5799-5807
IX,LD information,LD block,289043,299767,1,+,.,Name=CHR_9_5809-5816
IX,LD information,LD block,303507,310436,1,+,.,Name=CHR_9_5819-5824
IX,LD information,LD block,314400,317005,1,+,.,Name=CHR_9_5826-5829
IX,LD information,LD block,322200,323432,1,+,.,Name=CHR_9_5831-5832
IX,LD information,LD block,324397,324521,1,+,.,Name=CHR_9_5833-5835
IX,LD information,LD block,328426,330993,1,+,.,Name=CHR_9_5836-5838
IX,LD information,LD block,334958,354945,1,+,.,Name=CHR_9_5841-5863
IX,LD information,LD block,356037,362828,1,+,.,Name=CHR_9_5866-5875
IX,LD information,LD block,364558,379413,1,+,.,Name=CHR_9_5877-5890
IX,LD information,LD block,379890,380935,1,+,.,Name=CHR_9_5891-5892
IX,LD information,LD block,383530,385546,1,+,.,Name=CHR_9_5896-5904
IX,LD information,LD block,387982,388000,1,+,.,Name=CHR_9_5908-5909
IX,LD information,LD block,393791,395649,1,+,.,Name=CHR_9_5916-5923
IX,LD information,LD block,396186,396464,1,+,.,Name=CHR_9_5926-5930
IX,LD information,LD block,398401,398470,1,+,.,Name=CHR_9_5931-5932
IX,LD information,LD block,399657,405593,1,+,.,Name=CHR_9_5933-5941
IX,LD information,LD block,406743,419470,1,+,.,Name=CHR_9_5943-5955
IX,LD information,LD block,419563,429181,1,+,.,Name=CHR_9_5957-5978
IX,LD information,LD block,437940,437999,1,+,.,Name=CHR_9_5981-5982
X,LD information,LD block,26272,28835,1,+,.,Name=CHR_10_5983-5986
X,LD information,LD block,29208,36050,1,+,.,Name=CHR_10_5988-5994
X,LD information,LD block,41756,67697,1,+,.,Name=CHR_10_5995-6009
X,LD information,LD block,68934,73179,1,+,.,Name=CHR_10_6010-6012
X,LD information,LD block,75990,93721,1,+,.,Name=CHR_10_6015-6026
X,LD information,LD block,96002,96579,1,+,.,Name=CHR_10_6027-6028
X,LD information,LD block,101719,108931,1,+,.,Name=CHR_10_6030-6033
X,LD information,LD block,110053,113623,1,+,.,Name=CHR_10_6035-6038
X,LD information,LD block,116563,119720,1,+,.,Name=CHR_10_6040-6042
X,LD information,LD block,121811,133312,1,+,.,Name=CHR_10_6044-6050
X,LD information,LD block,139826,160258,1,+,.,Name=CHR_10_6055-6067
X,LD information,LD block,163124,176664,1,+,.,Name=CHR_10_6070-6081
X,LD information,LD block,179618,196310,1,+,.,Name=CHR_10_6083-6094
X,LD information,LD block,197415,197423,1,+,.,Name=CHR_10_6096-6097
X,LD information,LD block,197451,197458,1,+,.,Name=CHR_10_6098-6099
X,LD information,LD block,204807,226115,1,+,.,Name=CHR_10_6101-6112
X,LD information,LD block,226817,228775,1,+,.,Name=CHR_10_6113-6115
X,LD information,LD block,229802,233981,1,+,.,Name=CHR_10_6116-6119
X,LD information,LD block,236429,264881,1,+,.,Name=CHR_10_6120-6140
X,LD information,LD block,265910,268807,1,+,.,Name=CHR_10_6142-6149
X,LD information,LD block,269905,278431,1,+,.,Name=CHR_10_6151-6156
X,LD information,LD block,285600,291248,1,+,.,Name=CHR_10_6158-6163
X,LD information,LD block,293188,294588,1,+,.,Name=CHR_10_6165-6167
X,LD information,LD block,302826,340762,1,+,.,Name=CHR_10_6168-6193
X,LD information,LD block,346551,349573,1,+,.,Name=CHR_10_6196-6199
X,LD information,LD block,367390,367417,1,+,.,Name=CHR_10_6204-6206
X,LD information,LD block,369507,376605,1,+,.,Name=CHR_10_6207-6211
X,LD information,LD block,381270,385665,1,+,.,Name=CHR_10_6213-6220
X,LD information,LD block,386341,386341,1,+,.,Name=CHR_10_6222-6223
X,LD information,LD block,387183,387633,1,+,.,Name=CHR_10_6226-6227
X,LD information,LD block,396694,400117,1,+,.,Name=CHR_10_6231-6240
X,LD information,LD block,402350,416657,1,+,.,Name=CHR_10_6244-6268
X,LD information,LD block,416974,417330,1,+,.,Name=CHR_10_6270-6272
X,LD information,LD block,417351,424617,1,+,.,Name=CHR_10_6274-6286
X,LD information,LD block,425114,426072,1,+,.,Name=CHR_10_6288-6289
X,LD information,LD block,426682,426684,1,+,.,Name=CHR_10_6290-6291
X,LD information,LD block,426686,426687,1,+,.,Name=CHR_10_6292-6293
X,LD information,LD block,429055,435616,1,+,.,Name=CHR_10_6294-6298
X,LD information,LD block,436351,436355,1,+,.,Name=CHR_10_6299-6301
X,LD information,LD block,438861,461243,1,+,.,Name=CHR_10_6302-6318
X,LD information,LD block,463222,464142,1,+,.,Name=CHR_10_6320-6321
X,LD information,LD block,470995,492665,1,+,.,Name=CHR_10_6324-6327
X,LD information,LD block,497259,537627,1,+,.,Name=CHR_10_6329-6352
X,LD information,LD block,538102,539539,1,+,.,Name=CHR_10_6353-6356
X,LD information,LD block,543383,548227,1,+,.,Name=CHR_10_6358-6361
X,LD information,LD block,550151,557799,1,+,.,Name=CHR_10_6362-6377
X,LD information,LD block,564317,571888,1,+,.,Name=CHR_10_6378-6382
X,LD information,LD block,575574,578893,1,+,.,Name=CHR_10_6383-6387
X,LD information,LD block,581795,586368,1,+,.,Name=CHR_10_6389-6399
X,LD information,LD block,590619,592545,1,+,.,Name=CHR_10_6401-6406
X,LD information,LD block,594906,605865,1,+,.,Name=CHR_10_6408-6419
X,LD information,LD block,607274,610850,1,+,.,Name=CHR_10_6421-6423
X,LD information,LD block,611690,619631,1,+,.,Name=CHR_10_6426-6436
X,LD information,LD block,620582,627474,1,+,.,Name=CHR_10_6438-6442
X,LD information,LD block,629030,633866,1,+,.,Name=CHR_10_6445-6450
X,LD information,LD block,642106,652591,1,+,.,Name=CHR_10_6457-6466
X,LD information,LD block,652769,675971,1,+,.,Name=CHR_10_6468-6499
X,LD information,LD block,677377,701028,1,+,.,Name=CHR_10_6501-6536
X,LD information,LD block,703629,714924,1,+,.,Name=CHR_10_6538-6567
X,LD information,LD block,715567,728402,1,+,.,Name=CHR_10_6568-6594
X,LD information,LD block,745488,745492,1,+,.,Name=CHR_10_6595-6596
X,LD information,LD block,745649,745651,1,+,.,Name=CHR_10_6598-6599
XI,LD information,LD block,1010,1012,1,+,.,Name=CHR_11_6602-6603
XI,LD information,LD block,2602,2720,1,+,.,Name=CHR_11_6605-6607
XI,LD information,LD block,2722,2745,1,+,.,Name=CHR_11_6608-6612
XI,LD information,LD block,3277,3299,1,+,.,Name=CHR_11_6613-6614
XI,LD information,LD block,3343,3363,1,+,.,Name=CHR_11_6615-6618
XI,LD information,LD block,3391,7228,1,+,.,Name=CHR_11_6619-6640
XI,LD information,LD block,7663,7691,1,+,.,Name=CHR_11_6642-6644
XI,LD information,LD block,7717,8867,1,+,.,Name=CHR_11_6645-6659
XI,LD information,LD block,8878,8909,1,+,.,Name=CHR_11_6660-6662
XI,LD information,LD block,9097,19538,1,+,.,Name=CHR_11_6663-6747
XI,LD information,LD block,19629,20142,1,+,.,Name=CHR_11_6750-6757
XI,LD information,LD block,20203,22005,1,+,.,Name=CHR_11_6759-6780
XI,LD information,LD block,25361,33534,1,+,.,Name=CHR_11_6782-6796
XI,LD information,LD block,39138,40753,1,+,.,Name=CHR_11_6797-6799
XI,LD information,LD block,46848,63444,1,+,.,Name=CHR_11_6802-6838
XI,LD information,LD block,64101,64260,1,+,.,Name=CHR_11_6839-6841
XI,LD information,LD block,66128,71811,1,+,.,Name=CHR_11_6844-6848
XI,LD information,LD block,78793,78794,1,+,.,Name=CHR_11_6851-6852
XI,LD information,LD block,81028,87266,1,+,.,Name=CHR_11_6856-6865
XI,LD information,LD block,89429,92153,1,+,.,Name=CHR_11_6867-6870
XI,LD information,LD block,96863,140338,1,+,.,Name=CHR_11_6872-6935
XI,LD information,LD block,146291,195507,1,+,.,Name=CHR_11_6937-6985
XI,LD information,LD block,196560,201652,1,+,.,Name=CHR_11_6987-6992
XI,LD information,LD block,203111,230092,1,+,.,Name=CHR_11_6994-7030
XI,LD information,LD block,236028,237829,1,+,.,Name=CHR_11_7034-7038
XI,LD information,LD block,240765,264567,1,+,.,Name=CHR_11_7040-7059
XI,LD information,LD block,270804,279317,1,+,.,Name=CHR_11_7061-7070
XI,LD information,LD block,285019,303479,1,+,.,Name=CHR_11_7075-7083
XI,LD information,LD block,307466,317558,1,+,.,Name=CHR_11_7085-7092
XI,LD information,LD block,332693,333502,1,+,.,Name=CHR_11_7094-7095
XI,LD information,LD block,335215,336742,1,+,.,Name=CHR_11_7097-7098
XI,LD information,LD block,338730,350701,1,+,.,Name=CHR_11_7100-7115
XI,LD information,LD block,352832,358455,1,+,.,Name=CHR_11_7117-7127
XI,LD information,LD block,360267,369257,1,+,.,Name=CHR_11_7128-7137
XI,LD information,LD block,372538,376286,1,+,.,Name=CHR_11_7138-7141
XI,LD information,LD block,379841,379877,1,+,.,Name=CHR_11_7143-7145
XI,LD information,LD block,380964,381658,1,+,.,Name=CHR_11_7147-7148
XI,LD information,LD block,381673,382201,1,+,.,Name=CHR_11_7150-7153
XI,LD information,LD block,384150,385019,1,+,.,Name=CHR_11_7156-7158
XI,LD information,LD block,392685,393945,1,+,.,Name=CHR_11_7162-7164
XI,LD information,LD block,394913,402086,1,+,.,Name=CHR_11_7167-7171
XI,LD information,LD block,403233,428422,1,+,.,Name=CHR_11_7172-7190
XI,LD information,LD block,431573,439973,1,+,.,Name=CHR_11_7194-7198
XI,LD information,LD block,440451,445854,1,+,.,Name=CHR_11_7200-7214
XI,LD information,LD block,446795,456846,1,+,.,Name=CHR_11_7215-7219
XI,LD information,LD block,460484,464832,1,+,.,Name=CHR_11_7223-7227
XI,LD information,LD block,465463,498694,1,+,.,Name=CHR_11_7230-7265
XI,LD information,LD block,507721,516249,1,+,.,Name=CHR_11_7266-7273
XI,LD information,LD block,517253,517936,1,+,.,Name=CHR_11_7275-7279
XI,LD information,LD block,519384,523660,1,+,.,Name=CHR_11_7281-7287
XI,LD information,LD block,532258,576352,1,+,.,Name=CHR_11_7292-7330
XI,LD information,LD block,578734,578880,1,+,.,Name=CHR_11_7332-7333
XI,LD information,LD block,580843,580882,1,+,.,Name=CHR_11_7334-7335
XI,LD information,LD block,581051,605055,1,+,.,Name=CHR_11_7337-7349
XI,LD information,LD block,614444,614658,1,+,.,Name=CHR_11_7355-7356
XI,LD information,LD block,615691,615692,1,+,.,Name=CHR_11_7357-7358
XI,LD information,LD block,615824,632234,1,+,.,Name=CHR_11_7359-7386
XI,LD information,LD block,635532,645162,1,+,.,Name=CHR_11_7388-7406
XI,LD information,LD block,666348,666421,1,+,.,Name=CHR_11_7407-7413
XI,LD information,LD block,666492,666499,1,+,.,Name=CHR_11_7416-7418
XII,LD information,LD block,13769,18624,1,+,.,Name=CHR_12_7421-7429
XII,LD information,LD block,19930,19933,1,+,.,Name=CHR_12_7430-7432
XII,LD information,LD block,20883,65441,1,+,.,Name=CHR_12_7433-7463
XII,LD information,LD block,66967,80989,1,+,.,Name=CHR_12_7465-7480
XII,LD information,LD block,82740,84341,1,+,.,Name=CHR_12_7481-7483
XII,LD information,LD block,87080,87275,1,+,.,Name=CHR_12_7484-7485
XII,LD information,LD block,91612,92115,1,+,.,Name=CHR_12_7486-7491
XII,LD information,LD block,92163,92490,1,+,.,Name=CHR_12_7492-7496
XII,LD information,LD block,92533,95610,1,+,.,Name=CHR_12_7497-7502
XII,LD information,LD block,97129,97159,1,+,.,Name=CHR_12_7504-7507
XII,LD information,LD block,98701,103019,1,+,.,Name=CHR_12_7508-7512
XII,LD information,LD block,109468,119050,1,+,.,Name=CHR_12_7516-7521
XII,LD information,LD block,123527,123551,1,+,.,Name=CHR_12_7525-7527
XII,LD information,LD block,124218,124295,1,+,.,Name=CHR_12_7528-7529
XII,LD information,LD block,126688,126769,1,+,.,Name=CHR_12_7530-7531
XII,LD information,LD block,127341,128716,1,+,.,Name=CHR_12_7532-7535
XII,LD information,LD block,130108,130435,1,+,.,Name=CHR_12_7539-7543
